Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2006930001378,334640,730860,-3.062359,56.46538,Tayside,Slight,2,1,21/03/2006,Tuesday,20:50,Dundee City,Dundee City,A,90,Roundabout,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Rural,Yes,
2006930001422,338840,730240,-2.994061,56.460375,Tayside,Serious,1,1,13/03/2006,Monday,15:05,Dundee City,Dundee City,C,240,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930001429,340640,731270,-2.965091,56.469857,Tayside,Serious,1,1,19/03/2006,Sunday,11:45,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001431,338630,730880,-2.997619,56.466096,Tayside,Slight,2,1,10/03/2006,Friday,11:00,Dundee City,Dundee City,C,225,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2006930001433,335550,730060,-3.047395,56.458319,Tayside,Serious,2,1,28/03/2006,Tuesday,22:10,Dundee City,Dundee City,A,85,Single carriageway,50,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001437,336940,729880,-3.024801,56.45689,Tayside,Slight,2,2,13/03/2006,Monday,23:20,Dundee City,Dundee City,C,235,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,Roadworks,None,Urban,Yes,
2006930001441,341470,733220,-2.95206,56.487478,Tayside,Slight,1,1,24/03/2006,Friday,07:30,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001452,337290,732460,-3.019744,56.480112,Tayside,Serious,1,1,26/03/2006,Sunday,16:10,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001464,335830,730870,-3.043052,56.465633,Tayside,Slight,2,2,30/03/2006,Thursday,08:25,Dundee City,Dundee City,C,231,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,
2006930001470,339610,729800,-2.981466,56.456522,Tayside,Serious,1,1,30/03/2006,Thursday,17:45,Dundee City,Dundee City,C,235,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2006930001499,344150,731390,-2.908153,56.471365,Tayside,Serious,2,2,04/04/2006,Tuesday,09:20,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001500,338920,733350,-2.993493,56.488322,Tayside,Slight,2,1,21/03/2006,Tuesday,12:05,Dundee City,Dundee City,B,960,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001503,343700,731750,-2.915534,56.474545,Tayside,Slight,2,1,04/04/2006,Tuesday,17:15,Dundee City,Dundee City,A,92,Single carriageway,40,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001542,340140,730980,-2.973139,56.467189,Tayside,Slight,2,1,09/04/2006,Sunday,18:45,Dundee City,Dundee City,C,215,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,209,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001558,339080,730450,-2.990216,56.462292,Tayside,Slight,2,2,11/04/2006,Tuesday,21:05,Dundee City,Dundee City,C,212,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001560,340580,731650,-2.966152,56.473263,Tayside,Slight,3,3,11/04/2006,Tuesday,17:05,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001577,335380,732290,-3.050707,56.478327,Tayside,Serious,1,2,16/04/2006,Sunday,10:35,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
