Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2016930000074,340245,730515,-2.971329,56.463026,Tayside,Slight,1,1,28/02/2016,Sunday,03:15,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000076,337715,731755,-3.012677,56.473837,Tayside,Slight,2,2,30/01/2016,Saturday,10:10,Dundee City,Dundee City,A,923,Dual carriageway,30,T or staggered junction,Auto traffic signal,Unclassified,0,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000084,338813,731638,-2.994828,56.47293,Tayside,Slight,1,1,07/03/2016,Monday,09:35,Dundee City,Dundee City,C,201,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000085,340063,731012,-2.974396,56.467467,Tayside,Slight,1,1,02/03/2016,Wednesday,13:15,Dundee City,Dundee City,C,215,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,209,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,
2016930000087,339418,730180,-2.98467,56.459911,Tayside,Slight,1,1,16/02/2016,Tuesday,17:30,Dundee City,Dundee City,C,240,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,253,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,
2016930000091,339934,730374,-2.976343,56.46172,Tayside,Slight,1,1,04/03/2016,Friday,09:20,Dundee City,Dundee City,C,204,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000093,340292,730724,-2.970614,56.464909,Tayside,Serious,1,2,20/02/2016,Saturday,10:40,Dundee City,Dundee City,A,929,Single carriageway,30,T or staggered junction,Auto traffic signal,Unclassified,0,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000098,337118,730819,-3.02214,56.465349,Tayside,Slight,2,1,19/03/2016,Saturday,19:40,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000100,340575,731448,-2.966187,56.471449,Tayside,Slight,2,1,13/03/2016,Sunday,18:10,Dundee City,Dundee City,A,929,Single carriageway,30,Roundabout,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000104,341687,731227,-2.94809,56.469603,Tayside,Serious,2,1,04/01/2016,Monday,19:30,Dundee City,Dundee City,B,959,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,
